,Facility Name,Site Address,Last Inspection Date,url,category,Facility Type
9,Fritzie's,32 Perry St  Woodstock ON N4S 3C3,10/11/2023,location.href = '/Portal/Facility/Details/832cfcd8-cb15-4e29-8762-aea85d5b0fe7' ,Food,
10,From the Vines,B-168 Curtis Street  St. Thomas ON N5R 3W9,02/01/2023,location.href = '/Portal/Facility/Details/b62ee9e3-d9ee-4224-aef4-e765ecfbd1f8' ,Food,
11,"Frozen Cow, The",137 Dundas St W  Thamesford ON N0M 2M0,06/23/2023,location.href = '/Portal/Facility/Details/42c31bb6-be58-4a15-a75b-ab04de34bf5b' ,Food,
12,Fu Lok,696 Dundas St  Woodstock ON N4S 1E6,07/25/2023,location.href = '/Portal/Facility/Details/fcf8a14a-53d0-4a34-a042-f15749d4a948' ,Food,
13,Funnel Cake Factory,88 Fredrick St  Woodstock N4S 7W1,04/26/2023,location.href = '/Portal/Facility/Details/3fc73d54-0240-4387-8620-a6922861d219' ,Food,
14,Fusion Youth Centre,121 Thames St N  Ingersoll ON N5C 3C9,08/28/2023,location.href = '/Portal/Facility/Details/793a3a8e-43f4-4cab-9891-faacad22113f' ,Food,
15,Galaxy Cinemas - Refreshment Stand,417 Wellington St  St. Thomas ON N5R 5J5,,location.href = '/Portal/Facility/Details/06b78871-5c65-4de2-b744-ec9cdfefd5a9' ,Food,
16,Gallery Cinemas,15 Perry St  Woodstock ON N4S 3C1,01/06/2023,location.href = '/Portal/Facility/Details/d3f73e87-b5e0-4739-857e-23d7c2fa87ec' ,Food,
17,"Garage, The",174 Woodworth Ave  St Thomas ON N5P 3K7,09/06/2023,location.href = '/Portal/Facility/Details/7625016e-5e23-4a71-a910-968fadf0f9ad' ,Food,
18,Gardens of Ingersoll,423 Thames St S  Ingersoll ON N5C 3J8,08/03/2023,location.href = '/Portal/Facility/Details/ad3bbff0-0b8c-40d4-9c96-1373a9a1b602' ,Food,
19,Garderie francophone du comte d'Oxford,700 Bristol St  Woodstock ON N4T 0E4,10/06/2023,location.href = '/Portal/Facility/Details/03be67a2-5f64-4a71-8d00-22c74bc8f5ed' ,Food,
20,Garderie francophone du comté d'Oxford - Before & After School Program,700 Bristol Rd  Woodstock ON N4T 0E4,10/06/2023,location.href = '/Portal/Facility/Details/6eb4026e-4135-4d83-ab0e-e7f77a912e4c' ,Food,
21,Gatherings by Taylor,10 Manitoba Street  St. Thomas ON N5P 2Z9,05/12/2023,location.href = '/Portal/Facility/Details/4386ccd0-fa85-40f2-9c46-67d6be2400f0' ,Food,
22,Geerlinks Home Hardware- The Grilled Cheezery,295 Wellington Street  St. Thomas Ontario N5R 2S6,05/11/2023,location.href = '/Portal/Facility/Details/aa99216d-1ce3-47a3-94e8-090b4d083bd1' ,Food,
23,German Canadian Club Saxonia Hall - Banquet,522 Talbot St W  Aylmer ON N5H 2T8,08/10/2023,location.href = '/Portal/Facility/Details/02725dbe-7d27-4109-a289-b5900e1eee71' ,Food,
24,"Getaway Café and Lounge, The - Ontario Police College",10716 Hacienda Rd  Aylmer ON N5H 2T2,09/19/2023,location.href = '/Portal/Facility/Details/660b14d1-5c3a-4722-b303-1abed4fd0338' ,Food,
0,Ghost Kitchen Brands,499 Norwich Ave  Woodstock ON N4S 9A2,07/20/2023,location.href = '/Portal/Facility/Details/42f10462-112a-4cef-ae0c-0c6e738cfd81' ,Food,
1,Giant Tiger,111 Charles St  Ingersoll ON N5C 1J9,10/23/2023,location.href = '/Portal/Facility/Details/d5eef95c-de8e-4937-8f72-06e5f5de1abe' ,Food,
2,Giant Tiger,417 Wellington St  St Thomas ON N5R 5J5,11/01/2022,location.href = '/Portal/Facility/Details/5066b06e-37ae-4aa5-936f-93f09dcc3888' ,Food,
3,Giant Tiger,930 Dundas St  Woodstock ON N4S 8X6,09/19/2022,location.href = '/Portal/Facility/Details/4111a5d9-9753-4063-a40e-bfc84f263b81' ,Food,
4,Gino's Pizza,200 Broadway St.  Tillsonburg ON N4G 5A7,05/17/2023,location.href = '/Portal/Facility/Details/c569085e-7c65-4862-9f01-1f037a6ef37f' ,Food,
5,Gino's Pizza & Wings,7-379 Springbank Ave  Woodstock ON N4T 1R3,06/27/2023,location.href = '/Portal/Facility/Details/e853956e-5729-45cf-94ae-a817cf75fc0e' ,Food,
6,Gino's Pizza Ingersoll,15 Thames St S  Ingersoll ON N5C 2S8,03/07/2023,location.href = '/Portal/Facility/Details/4ac7f18d-af56-4679-81ca-699364f2d25f' ,Food,
7,Giving Back St. Thomas,599 Talbot St  St. Thomas ON N5P 1C6,07/27/2023,location.href = '/Portal/Facility/Details/b4d16d95-f458-49df-bae8-98ee06d3a5db' ,Food,
8,Glen Haven Variety,1210 Talbot St  St Thomas ON N5P 1G7,,location.href = '/Portal/Facility/Details/a4cebf1f-926b-4b1d-8579-a09d793c02d2' ,Food,
9,Glendale High School - Cafeteria,37 Glendale Dr.  Tillsonburg ON N4G 1J6,05/04/2023,location.href = '/Portal/Facility/Details/83b6ea51-f5f9-40dc-9058-d373bfdd21d4' ,Food,
10,Glendale High School - Nourishment Program,37 Glendale Dr.  Tillsonburg ON N4G 1J6,,location.href = '/Portal/Facility/Details/bd5712ec-7996-40e6-886a-3bcb7145c804' ,Food,
11,"Goal Post, The",170 Currie St  Dutton ON N0L 1J0,05/25/2023,location.href = '/Portal/Facility/Details/e7c50712-5fcd-4826-a701-7fa89c959e79' ,Food,
12,Godfather Pizza,308 Talbot St W  Aylmer ON N5H 1K2,06/23/2023,location.href = '/Portal/Facility/Details/bf632900-81f7-41b4-8951-42cc8f6ac1a5' ,Food,
13,Godfathers Pizza,2 Stover St  Norwich ON N0J 1P0,08/10/2023,location.href = '/Portal/Facility/Details/1cea5afd-f930-4d44-acf7-28b103fc44f6' ,Food,
14,Golden Dragon,534 Elm St  St Thomas ON N5R 1K7,07/05/2023,location.href = '/Portal/Facility/Details/8de0dff2-910c-4e4d-9753-77ef70be3275' ,Food,
15,Golden Restaurant,23 King St W  Ingersoll ON N5C 2J2,04/05/2023,location.href = '/Portal/Facility/Details/9c6acf85-21d0-4beb-9408-d4c09cf46e35' ,Food,
16,Good Beginnings Day Care - Algonquin Child Care Centre,59 Algonquin Rd  Woodstock ON N4T 1R8,10/25/2023,location.href = '/Portal/Facility/Details/3371fd4f-cd92-4a58-add0-79ba04d223a0' ,Food,
17,Good Beginnings Day Care - Community Complex,375 Finkle St  Woodstock ON N4S 1A3,08/15/2023,location.href = '/Portal/Facility/Details/67ab025e-cc1a-4630-87f6-b072f9238ddb' ,Food,
18,Good Beginnings Day Care - Oxford Gardens,423 Devonshire Ave  Woodstock ON N4S 0B2,07/05/2023,location.href = '/Portal/Facility/Details/7ca4ec4e-6268-4644-a3b2-cbca4f8592a3' ,Food,
19,Goodness Retirement Living - Institutional Food,16 Aldborough Ave  St. Thomas ON N5R 4S7,03/21/2023,location.href = '/Portal/Facility/Details/a4909bd7-4eac-4595-adea-cb01f37c42cf' ,Food,
20,Grab & GO Eatery,28 Princess Ave  St Thomas ON N5R 3V4,06/21/2023,location.href = '/Portal/Facility/Details/b54ad0dd-41f6-49da-ba1d-92f89c24384a' ,Food,
21,"Grace Café, The",323 Talbot St  St. Thomas ON N5P 1B5,10/24/2023,location.href = '/Portal/Facility/Details/5cbe001d-b93c-4013-9df1-881bee23f861' ,Food,
22,Grandma's Oven,157 John St N  Aylmer ON N5H 2B1,06/22/2023,location.href = '/Portal/Facility/Details/1eb45dff-f33b-417f-90c1-b17b24856ff2' ,Food,
23,Grassroots,100 Wilson Ave  St. Thomas Ontario N5R 3R2,09/22/2023,location.href = '/Portal/Facility/Details/02102bbe-1856-4526-9780-7c11d3e8a736' ,Food,
24,Great Lakes Farms - Food,5111 Union Rd  Port Stanley ON N5L 1J2,09/06/2023,location.href = '/Portal/Facility/Details/85b83385-c475-41d7-8ec2-52237d3b2d88' ,Food,
0,Greek & Go,245 South Edgeware Rd  St. Thomas ON N5P 4C4,08/23/2023,location.href = '/Portal/Facility/Details/da6dc552-8fe0-4dd0-96ee-e4421c10ee27' ,Food,
1,Green Frog Tea Room (Pinecroft),8122 Rogers Rd  Aylmer ON N5H 2R4,06/20/2023,location.href = '/Portal/Facility/Details/07672b9a-6a51-447f-a2d4-8ca56ddd73af' ,Food,
2,Green Roof Gas Bar Variety,4954 Sunset Rd  Port Stanley ON N5L 1J1,10/11/2023,location.href = '/Portal/Facility/Details/3a6ad759-a616-499e-bf16-fc4c4866108a' ,Food,
3,Greens Market Bakery - Briwood,1030 Talbot Street  St Thomas ON N5P 1G3,,location.href = '/Portal/Facility/Details/31e42f7d-16b1-4d3b-94b1-e0917a34fcfb' ,Food,
4,Greta's Taco Wagon,550 Talbot Street W  Aylmer ON N5H 2T8,04/26/2023,location.href = '/Portal/Facility/Details/bca356bd-d106-463a-9fdc-e62ce2dc392d' ,Food,
5,GT's Portside Restaurant,350 Edith Cavell Blvd  Port Stanley ON N5L 1E2,06/13/2023,location.href = '/Portal/Facility/Details/fecb48ba-36e8-4611-94d8-1c07a6f78af0' ,Food,
6,Guac Mexi Grill,2-387 Norwich Ave  Woodstock ON N4S 3W4,10/24/2023,location.href = '/Portal/Facility/Details/fc65a597-b796-4219-b83c-c770ebf66acc' ,Food,
7,Guac Mexi Grill,8-1025 Talbot Street  St.Thomas ON N5P 3R6,09/07/2023,location.href = '/Portal/Facility/Details/ef4f2971-cc58-46d0-870b-cffeb6b71321' ,Food,
8,Halibut House Fish and Chips,1025 Talbot St  St Thomas ON N5P 3R6,09/19/2022,location.href = '/Portal/Facility/Details/ec5831d7-7d42-4236-a91e-4dd0556e1d56' ,Food,
9,Hammersley's Fish Market,771 Talbot St  St. Thomas ON N5P 1E3,06/08/2023,location.href = '/Portal/Facility/Details/63caa264-5bac-414f-b8c7-347e1ac1e80a' ,Food,
10,Hammy'z,503 Norwich Ave  Woodstock ON N4S 9A2,,location.href = '/Portal/Facility/Details/bf416bd0-6df3-47f5-a945-9b0e9d85f834' ,Food,
11,Hanak Foods,163 THAMES ST S  INGERSOLL ON N5C 2T6,08/24/2022,location.href = '/Portal/Facility/Details/ef6c9961-d820-4236-8b22-4182c1940117' ,Food,
12,Hanak Foods (Arena Bites),97 Mutual St S  Ingersoll ON N5C 1S6,09/11/2023,location.href = '/Portal/Facility/Details/62b8a154-a4cb-4cf3-bc20-ffa5110f9a4e' ,Food,
13,Happy Hills Resort,923590 92nd Line  Embro ON N0J 1J0,08/21/2023,location.href = '/Portal/Facility/Details/6be35385-d014-410f-ba45-abfa224df9dc' ,Food,
14,Harbour Cheesecake,417 Wellington Street  St. Thomas Ontario N5R 5J5,08/03/2023,location.href = '/Portal/Facility/Details/2eb7ea0c-4860-4e24-a1f7-901279180af5' ,Food,
15,Harbour Cheesecake,3A-204 Main Street  Port Stanley ON N5L 0B2,05/12/2023,location.href = '/Portal/Facility/Details/1fab2bf2-f654-4e10-b0b5-d85cb771fb0d' ,Food,
16,Harbour Cheesecake Trailer,6144 Mill Rd  Union ON N0L 2L0,07/27/2022,location.href = '/Portal/Facility/Details/f5683225-095d-4041-9d1e-9c7985c399e9' ,Food,
17,"Harbour Merchant Coffee Company Inc, The",288 Bridge St  Port Stanley ON N5L 1C3,02/01/2023,location.href = '/Portal/Facility/Details/6deeba1c-63e3-4e0a-90cc-6b65d6ade6bf' ,Food,
18,Harbourtown Fudge,214 Emery Street  Port Stanley Ontario N5L 0A5,09/26/2023,location.href = '/Portal/Facility/Details/5b83dd4f-2def-4118-a093-d5f9766ee5ed' ,Food,
19,Harmony Restaurant,91 Broadway St  Tillsonburg ON N4G 3P5,08/16/2023,location.href = '/Portal/Facility/Details/e51d7b38-3588-4a83-b9c8-a3476a72d4bd' ,Food,
20,Harrington Community Centre,539 Victoria St  Harrington ON N0J 1J0,05/16/2023,location.href = '/Portal/Facility/Details/aa6ddb1c-f216-45fc-a0bf-221ecf09e140' ,Food,
21,Harrisfield Public School - Before & After School Program,2 Caffyn St  Ingersoll ON N5C 3M8,,location.href = '/Portal/Facility/Details/d8dd334e-37af-4dc4-95fd-7469c8ed0ca5' ,Food,
22,Harrisfield Public School - Milk Program,2 Caffyn St  Ingersoll ON N5C 3M8,01/30/2023,location.href = '/Portal/Facility/Details/89da2f91-7cbd-430a-960d-f6edd0d4aee7' ,Food,
23,Harrisfield Public School - Nourishment Program,2 Caffyn St  Ingersoll ON N5C 3M8,01/30/2023,location.href = '/Portal/Facility/Details/bfc93387-e855-4ae1-8727-d0311cdf6dcf' ,Food,
24,Harry's Charcoal Broiled,891 Talbot St  St Thomas ON N5P 1E6,06/06/2023,location.href = '/Portal/Facility/Details/8a406688-191b-4fcd-82d4-62a7c955221d' ,Food,
0,Harvest Retirement Community,15 Harvest Ave  Tillsonburg ON N4G 0E2,07/28/2023,location.href = '/Portal/Facility/Details/6ad5695d-a2e3-4756-9ba9-2ce2998be1fc' ,Food,
1,Harvey Woods Lofts - Community Kitchen,18 Vansittart Ave  Woodstock ON N4S 0A2,04/19/2023,location.href = '/Portal/Facility/Details/2a02d3e3-a608-43a4-9e95-37d1e5a9f7d0' ,Food,
2,Harvey's,415 Norwich Ave  Woodstock ON N4S 3W4,06/22/2023,location.href = '/Portal/Facility/Details/351dacfb-aa4e-4b5e-b94c-cab36eaf7db7' ,Food,
3,Hasty Market,5 Woodstock St N  Tavistock ON N0B 2R0,12/13/2022,location.href = '/Portal/Facility/Details/e7843ada-c18e-4a0e-b424-d069379ea6c8' ,Food,
4,Hasty Market,1 & 2-801 Dundas St  Woodstock ON N4S 1G4,07/07/2023,location.href = '/Portal/Facility/Details/011d4913-1a36-474b-ba6e-e32259694c42' ,Food,
5,Hayes Haven Farms,244618 Airport Rd  Tillsonburg ON N4G 4H1,02/21/2023,location.href = '/Portal/Facility/Details/619d7e27-1222-4b6f-9800-7198b3b4f85d' ,Food,
6,Hayes Haven Farms - Crepe Trailer,244600 Airport Rd  Tillsonburg ON N4G 4H1,04/27/2023,location.href = '/Portal/Facility/Details/b62d9273-eb3b-4bd7-a747-bc55a6c38abc' ,Food,
7,HB Market - Meat Market,4-300 Talbot Street W  Aylmer ON N5H 1K2,07/14/2023,location.href = '/Portal/Facility/Details/061ea9d9-a3fc-4673-a412-f0d19e31e743' ,Food,
8,HB Market (Truck),300 Talbot Street  Aylmer ON N5H 1K2,,location.href = '/Portal/Facility/Details/779a0676-f513-4a9c-9360-c397081af103' ,Food,
9,Health Centre Pharmacy,230 First Ave  St. Thomas ON N5R 4P5,,location.href = '/Portal/Facility/Details/b7a6968e-83a0-45dd-9c5e-3ac38f7887bd' ,Food,
10,"Health Shop, The",200 Broadway St  Tillsonburg ON N4G 5A7,08/16/2023,location.href = '/Portal/Facility/Details/8f251072-d596-46e8-b4fc-520c5b885fee' ,Food,
11,Health Supply Centre,102C Tillson Ave  Tillsonburg ON N4G 3A1,01/16/2023,location.href = '/Portal/Facility/Details/305431ee-d776-4605-bcce-3d53c54653f1' ,Food,
12,Healthy Life-Styles,1091 Talbot Street  St. Thomas Ontario N5P 1G4,05/04/2023,location.href = '/Portal/Facility/Details/de66ef0b-2c6c-4e66-8fda-a52adac5e6c7' ,Food,
13,Heavenly Sweets,127 Thames Street S  Ingersoll ON N5C 2T3,07/17/2023,location.href = '/Portal/Facility/Details/ca73eb70-80e9-4fba-9509-5c6e8c7483db' ,Food,
14,Heavenly Sweets - The Soulful Spoon,127 Thames St S  Ingersoll ON N5C 2T3,,location.href = '/Portal/Facility/Details/53028ef8-3b3c-4c77-be1f-b473f1bdf202' ,Food,
15,Helm Baked,111 Caverly Rd  Aylmer ON N5H2V8,,location.href = '/Portal/Facility/Details/24cdf730-e9a3-4364-be2c-d42e6780a0ff' ,Food,
16,Heritage Lanes,1213 Talbot St  St. Thomas ON N5P 1G8,06/08/2023,location.href = '/Portal/Facility/Details/2deea893-0d43-4a74-b937-fd5d711904c0' ,Food,
17,Hickory Grove - Kitchen,21527 Gray Line  Rodney ON N0L 2C0,05/19/2023,location.href = '/Portal/Facility/Details/30df7a8b-06e2-47cd-895c-e6a60ecfb0e9' ,Food,
18,Hickory Grove - Store,21527 Gray Line  Rodney ON N0L 2C0,05/19/2023,location.href = '/Portal/Facility/Details/99e182f0-cb95-4763-868a-daab5b5208ba' ,Food,
19,Hickson Central School - Before & After School Program,161 Lovey's St  Hickson ON N0J 1L0,,location.href = '/Portal/Facility/Details/0a8486b6-eee1-4440-a385-8c318500ebd7' ,Food,
20,Hickson Central School - Milk Program,161 Loveys St  Hickson ON N0J 1L0,,location.href = '/Portal/Facility/Details/d095646a-fec7-4942-82d5-d52070648c8e' ,Food,
21,Hickson Central School - Nourishment program,161 Loveys St  Hickson ON N0J 1L0,,location.href = '/Portal/Facility/Details/0f5581eb-c431-4f32-b940-1ab00143287f' ,Food,
22,Hickson Park,99 Lovey's St  Hickson ON,05/10/2023,location.href = '/Portal/Facility/Details/40b13cae-a510-4c90-91c9-813768d9b834' ,Food,
23,Hickson Pavilion,99 Lovey's St  Hickson ON,05/10/2023,location.href = '/Portal/Facility/Details/41b04d4f-a11b-4988-9c65-618f485c1c3e' ,Food,
24,Highland Restaurant,103 Commissioners St  Embro ON N0J 1J0,07/04/2023,location.href = '/Portal/Facility/Details/8e281ba4-9b30-4c2c-92f1-606702e687f9' ,Food,
0,Hissing Goose Coffee Roasters Inc,71 Oakridge Ave  Innerkip ON N0J 1M0,04/18/2023,location.href = '/Portal/Facility/Details/4ccc80c9-f33a-408e-8405-16ff068837a9' ,Food,
1,HKM Restaurants Ont. Inc O/A Legends Tavern,600 Talbot Street  St. Thomas Ontario N5P 1C7,09/26/2023,location.href = '/Portal/Facility/Details/a0deb7ae-4c6c-4a25-9f05-1426bea324fd' ,Food,
2,Holiday Inn Express & Suites,510 Norwich Ave  Woodstock ON N4S 3W5,06/28/2023,location.href = '/Portal/Facility/Details/f2f3c06a-621a-4817-94ac-b2a9417f2a96' ,Food,
3,Holiday Inn Express & Suites-St. Thomas,275 Highview Ave  St. Thomas Ontario N5R 5Y5,,location.href = '/Portal/Facility/Details/c5a4c2ef-aba8-49ab-bdcd-162b49160ffb' ,Food,
4,Holy Angels Parish Hall,502 Talbot St  St Thomas ON N5R 1C2,10/18/2023,location.href = '/Portal/Facility/Details/af4a730e-ac28-4c46-a891-6109730bdadb' ,Food,
5,Holy Family Catholic School - Before & After School Program,177 Oxford St  Woodstock ON N4S 6A8,10/06/2023,location.href = '/Portal/Facility/Details/94d7c6fa-a6d3-469b-b8cf-8ae96b9a8858' ,Food,
6,Holy Family Catholic School - Milk Program,177 Oxford St  Woodstock ON N4S 6A8,,location.href = '/Portal/Facility/Details/e58a730c-1d90-46c2-b26f-99aecf577168' ,Food,
7,Holy Family Catholic School - Nourishment Program,177 Oxford St  Woodstock ON N4S 6A8,10/06/2023,location.href = '/Portal/Facility/Details/8b6a3465-a4f9-4f9e-a206-a952c1a0b2de' ,Food,
8,Home Style Bakery,52925 Glencolin Line  Aylmer ON N5H 2R3,06/13/2023,location.href = '/Portal/Facility/Details/6030bf35-c0af-4f63-97e5-602c6797255c' ,Food,
9,Hometown Country Market,333228 Plank Line  Mount Elgin ON N0J 1N0,10/24/2023,location.href = '/Portal/Facility/Details/ed1dcfd7-1581-4e6d-b99a-6c939a75a908' ,Food,
10,Hometown Dogs,31 Hawthorne Crescent  Aylmer Ontario N5H 3C2,,location.href = '/Portal/Facility/Details/1273b2ee-e9d8-4959-9569-b1d88946c95d' ,Food,
11,HOPE Eco-Farm Store,51681 College Line  Aylmer ON N5H 2R3,06/07/2023,location.href = '/Portal/Facility/Details/8211766d-fef1-4793-87a8-6fb1a3b0e614' ,Food,
12,"Hot Oven, The",293225 Culloden Ln  Verschoyle ON N5C 3J7,10/24/2023,location.href = '/Portal/Facility/Details/df2272dd-204a-48eb-9245-86e6badbe20f' ,Food,
13,Howe Family Farms Market,48556 John Wise Line  Aylmer ON N5H 2R4,09/01/2023,location.href = '/Portal/Facility/Details/bc8951a5-ab46-4638-a6c0-0ea57351cf46' ,Food,
14,Howe's Farm Market & Country Bakery,11143 Highbury Rd  St Thomas ON N5P 3T3,05/10/2023,location.href = '/Portal/Facility/Details/bcacaa39-4700-449d-af30-3581110c3557' ,Food,
15,Hubee's Variety,229285 Culloden Line  Brownsville ON N0L 1C0,11/02/2023,location.href = '/Portal/Facility/Details/0bdedbc7-f369-4f70-8183-2ac26481fe59' ,Food,
16,Huntingford ESSO/Pizza Pizza,595771 Hwy 59  Woodstock ON N4S 7W1,08/30/2023,location.href = '/Portal/Facility/Details/950d8ba7-6b56-4d13-a4c1-3ea1e2189176' ,Food,
17,Huron Park Secondary School - Cafeteria,900 Cromwell St  Woodstock ON N4S 3T3,05/11/2023,location.href = '/Portal/Facility/Details/6c9eb97f-adba-4fad-8782-f0c2fb2d332f' ,Food,
18,Huron Park Secondary School - Nourishment Program,900 Cromwell St  Woodstock ON N4S 3T3,12/06/2022,location.href = '/Portal/Facility/Details/b4f38233-2d05-4b73-8e63-7e31468e392e' ,Food,
19,Hydra Dyne Technology,55 Samnah Cres  Ingersoll ON N5C 3J7,05/03/2023,location.href = '/Portal/Facility/Details/caa5d16a-5507-419c-8995-7fe364172347' ,Food,
20,I.D.A. Pharmacy Aylmer,6 Talbot St E  Aylmer ON N5H 1H4,,location.href = '/Portal/Facility/Details/c4edea27-fc02-4296-878b-9821b50b65a9' ,Food,
21,Ice Cream Treats,256 Wellington St  St. Thomas ON N5R 2S7,06/06/2022,location.href = '/Portal/Facility/Details/e60490ec-782b-4be5-8d5d-1a39bf359fe5' ,Food,
22,IDA Highland Drug Mart,222 Colborne Street  Port Stanley Ontario N5L 1C2,02/06/2023,location.href = '/Portal/Facility/Details/253994fa-02bb-44f5-8536-c1c6f098dd54' ,Food,
23,Ignite Youth Centre,745 Talbot St  St Thomas ON N5P 1E3,08/03/2023,location.href = '/Portal/Facility/Details/dfeec270-5d19-41e6-85a1-5d06e9020d91' ,Food,
24,Illusions,434-440 Dundas St  Woodstock ON N4S 1C1,,location.href = '/Portal/Facility/Details/e86381b1-9426-48cd-a7e4-b6e1f901f9ee' ,Food,
0,Immanuel Christian - Nourishment Program,75 Caverly Rd  Aylmer ON N5H 2P6,,location.href = '/Portal/Facility/Details/f28440d5-0811-489a-9b52-b448fb52ac03' ,Food,
1,Immanuel Christian School - Banquet,75 Caverly Rd  Aylmer ON N5H 2P6,11/17/2022,location.href = '/Portal/Facility/Details/dec23ea7-2bf8-4c58-8756-4d5324214d0b' ,Food,
2,Independent at the Pumps,124 Whiting St  Ingersoll ON N5C 3B2,08/21/2023,location.href = '/Portal/Facility/Details/ce725a46-2c23-443a-b076-37863b62ba6c' ,Food,
3,Indian Zaika,A & B-870 Queenston Blvd  Woodstock ON N4T 0M2,09/19/2023,location.href = '/Portal/Facility/Details/f94c2165-da61-4fef-8a5b-5c71e5827ef9' ,Food,
4,Indigo Lounge,264 Tillson Ave  Tillsonburg ON N4G 3B5,10/10/2023,location.href = '/Portal/Facility/Details/e5eeb837-b2de-4066-b0c9-45af55e89cd8' ,Food,
5,Indwell,16 Queen Street  St. Thomas Ontario N5R 3H8,10/19/2023,location.href = '/Portal/Facility/Details/01947e79-d7d0-4c71-8816-784d55925b02' ,Food,
6,infuZed tZ,139 Coulter Ave  St. Thomas ON N5R5A9,,location.href = '/Portal/Facility/Details/a0269e72-e210-49f1-934a-7aa9ed9fbd1a' ,Food,
7,infuZed tZ,548 Talbot Street  St Thomas ON N5P 1C4,,location.href = '/Portal/Facility/Details/49de48fc-3ff0-4f68-9521-f94c32559712' ,Food,
8,Ingersoll Children's Centre,24 Raglan St  Ingersoll ON N5C 1P9,10/26/2023,location.href = '/Portal/Facility/Details/27f15328-cba0-4b13-91ac-1a87b6af3aa9' ,Food,
9,Ingersoll District Collegiate Institute-Chartwell 11038,37 Alma St  Ingersoll ON N5C 1N1,11/28/2022,location.href = '/Portal/Facility/Details/36c2b824-ba1c-4fd3-93c2-ad99718c3e1a' ,Food,
10,Ingersoll District Memorial Arena,97 Mutual St  Ingersoll ON N5C 1Z8,08/28/2023,location.href = '/Portal/Facility/Details/f5148cf0-42e0-40bc-98bf-2df1b3686bbe' ,Food,
11,Ingersoll Key Putt,108 Wonham St S  Ingersoll ON N5C 2Z1,07/21/2023,location.href = '/Portal/Facility/Details/b5bf99f8-9f45-46bf-a322-c2221c407f1b' ,Food,
12,Ingersoll Lanes,134 Thames St N  Ingersoll ON N5C 2T4,02/06/2023,location.href = '/Portal/Facility/Details/b0a6e3db-d17c-4d03-ac2f-3564e12ffa75' ,Food,
13,Ingersoll Pizza & Pasta,A-17 Thames St S Unit A  Ingersoll ON N5C 2S8,08/01/2023,location.href = '/Portal/Facility/Details/619916de-d306-4718-a805-51d55d0a4c46' ,Food,
14,Ingersoll Rails House of Brews,99 Victoria St  Ingersoll ON N5C 2M8,11/03/2023,location.href = '/Portal/Facility/Details/89794c3c-f159-44cf-8d77-4d20d6e31485' ,Food,
15,Ingersoll Seniors Centre,250 Ingersoll St  Ingersoll ON N5C 3K5,06/20/2023,location.href = '/Portal/Facility/Details/674b3376-ec85-4110-aca7-f3c6009c9994' ,Food,
16,Ingersoll Variety,182 Whiting St  Ingersoll ON N5C 3K1,08/21/2023,location.href = '/Portal/Facility/Details/39c6dbf2-4b54-436a-8a94-b3e6c36c2794' ,Food,
17,Ingersoll Water & Wine,42 King St W  Ingersoll ON N5C 2J4,,location.href = '/Portal/Facility/Details/04d5d46a-fe28-47f9-aab2-5f7ae1d63c73' ,Food,
18,Inn Out of the Cold,661 Talbot St  St Thomas ON N5P 1C9,,location.href = '/Portal/Facility/Details/1dce14f7-c899-4bfe-85f4-548c22a6113a' ,Food,
19,"Innerkip Arms, The",116 Blandford St  Innerkip ON N0J 1M0,,location.href = '/Portal/Facility/Details/fea981cf-fedd-4ce9-8b7d-a66d3a6d304a' ,Food,
20,Innerkip Central School - Before & After School Program,180 Coleman St  Innerkip ON N0J 1M0,04/18/2023,location.href = '/Portal/Facility/Details/cc1b43c0-447f-40e6-a058-d5cd81bbf7f0' ,Food,
21,Innerkip Central School - Milk Program,180 Coleman St  Innerkip ON N0J 1M0,04/13/2023,location.href = '/Portal/Facility/Details/4b095ab9-d2c0-420b-ab52-c7875a01ef78' ,Food,
22,Innerkip Central School - Nourishment Program,180 Coleman St  Innerkip ON N0J 1M0,04/13/2023,location.href = '/Portal/Facility/Details/f33b3286-93a6-4588-a3f7-feaa3b5b428e' ,Food,
23,Innerkip Family Pharmacy,3-95 Blandford St  Innerkip ON N0J 1M0,06/26/2023,location.href = '/Portal/Facility/Details/757cd402-b1e2-4046-8ce2-90e29b699ee6' ,Food,
24,Innerkip Highlands Golf Club,805940 Oxford Rd 29  Innerkip ON N0J 1M0,10/16/2023,location.href = '/Portal/Facility/Details/c2298b44-4b62-4cc6-85e9-7f9fbdcf2f6d' ,Food,
0,Innerkip Kommunity Food Market,177 Blandford St  Innerkip ON N0J 1M0,08/11/2023,location.href = '/Portal/Facility/Details/9de0f953-c2d7-4858-a085-18cbb947719a' ,Food,
1,Innerkip Lions Community Centre,695566 Oxford Rd 5  Innerkip ON N0J 1M0,05/10/2023,location.href = '/Portal/Facility/Details/49478d36-bda7-4ab1-ac68-b75ce61070bf' ,Food,
2,Innerkip Park,104 Blandford St  Innerkip ON N0J 1M0,05/10/2023,location.href = '/Portal/Facility/Details/5e0670c3-adbb-46a8-9703-ef3c560519f6' ,Food,
3,Inside U,79 Montclair Dr  Woodstock ON N4V 1C5,10/24/2023,location.href = '/Portal/Facility/Details/4c5e6df3-e445-4060-a20d-9773a190c77b' ,Food,
