,Facility Name,Site Address,Last Inspection Date,url,category,Facility Type
19,Bluegroves Farms,25503 Talbot Line  West Lorne ON N0L 2P0,09/15/2023,location.href = '/Portal/Facility/Details/75b26ce2-c7a1-4e82-82f1-22a1ffa3eecd' ,Food,
20,"Bluffs Golf Club, The",35593 Lake Line  Port Stanley ON N5L 1J1,07/26/2023,location.href = '/Portal/Facility/Details/754ef0f8-4a09-4bca-9124-65d12d7adeb1' ,Food,
21,BoBar Inc.,257 Dundas St  Woodstock ON N4S 1A9,09/20/2023,location.href = '/Portal/Facility/Details/dc3f6e28-356d-4ffd-a227-3eb832679b7d' ,Food,
22,Bobier Villa - Institutional Food,1 Bobier Lane  Dutton ON N0L 1J0,08/01/2023,location.href = '/Portal/Facility/Details/e4ee494a-3b75-43bb-ad1a-bdaaead2a061' ,Food,
23,Bobier Villa - Tuck Shop,1 Bobier Lane  Dutton ON N0L 1J0,08/11/2022,location.href = '/Portal/Facility/Details/52f4d0fc-e8c0-4832-b23c-83174468d34f' ,Food,
24,Bon Appetit Pastry Shop,806470 Oxford Rd 29  Drumbo ON N0J 1G0,06/22/2023,location.href = '/Portal/Facility/Details/1e27cf53-78c0-48cd-8c2f-dfc620025bca' ,Food,
0,Boo's Country Kitchen,105 Dundas St E  Thamesford ON N0M 2M0,,location.href = '/Portal/Facility/Details/082217b1-51c7-4b71-9271-d148500f3477' ,Food,
1,Booster Juice,2-547 Norwich Ave  Woodstock ON N4V 1C7,10/26/2023,location.href = '/Portal/Facility/Details/7e3498b6-6605-48dd-bcec-6d9f57aa1689' ,Food,
2,Booster Juice,15-1025 Talbot St  St. Thomas ON N5P 3R6,02/07/2023,location.href = '/Portal/Facility/Details/af85d00a-3224-4d20-a803-98eed99945a9' ,Food,
3,Boston Pizza,431 Norwich Ave  Woodstock ON N4S 3W4,10/11/2023,location.href = '/Portal/Facility/Details/f0d36c04-6ec9-413c-a2e8-a5e80d78c04d' ,Food,
4,Boston Pizza,106 Broadway St  Tillsonburg ON N4G 3P6,08/31/2023,location.href = '/Portal/Facility/Details/ec2e789b-3ec3-4c4c-9558-b73dfe329610' ,Food,
5,Boston Pizza,860 Talbot St  St. Thomas ON N5P 1E2,10/23/2023,location.href = '/Portal/Facility/Details/c70da599-7e2c-4720-8fd1-f7e317234ab3' ,Food,
6,Boxcar Donuts,3-24 First Ave  St. Thomas Ontario N5R 2S6,,location.href = '/Portal/Facility/Details/990b6304-6035-4e88-b3ce-4e3e03d3a792' ,Food,
7,Bre's Fresh Market,224276 Ostrander Rd  Tillsonburg ON N4G 4H1,08/08/2023,location.href = '/Portal/Facility/Details/f430d0a4-c8bc-457b-9d73-2640dd1c7e5b' ,Food,
8,Bridge Variety,15 Thames St N  Ingersoll ON N5C 3C6,,location.href = '/Portal/Facility/Details/4d3d5156-9e4e-4d9b-9a89-71e1402323ef' ,Food,
9,"Bridges at Tillsonburg, The",101 John Pound Rd  Tillsonburg ON N4G 4H3,09/06/2023,location.href = '/Portal/Facility/Details/c116b7b2-5e7a-4c02-9acc-060e90f828a0' ,Food,
10,Bridges on the Beach,174 William Street  Port Stanley Ontario N4L 1E4,08/29/2023,location.href = '/Portal/Facility/Details/721a5bc5-059e-4a8c-9bd8-c55c94b42d68' ,Food,
11,Briwood Farm Market,1030 Talbot St  St Thomas ON N5P 1G3,,location.href = '/Portal/Facility/Details/c9ba4e98-94f4-4179-ac3e-4a7ac283eec9' ,Food,
12,Broadway Cinemas,518 Broadway St  Tillsonburg ON N4G 3S7,,location.href = '/Portal/Facility/Details/500f7ce4-05c9-40be-a9bf-688c7fa60098' ,Food,
13,Broadway Tobacconist,181 Broadway St.  Tillsonburg ON N4G 3P9,11/02/2023,location.href = '/Portal/Facility/Details/234abf74-cc7a-4034-98b0-3d2ff29cc658' ,Food,
14,Broderick's,290 Bridge St  Port Stanley ON N5L 1C3,07/13/2023,location.href = '/Portal/Facility/Details/62e1ffc9-0717-44e4-8cf0-60d99e67e0fe' ,Food,
15,Brownsville Community Centre,292240 Culloden Line  Brownsville ON N0L 1C0,05/09/2023,location.href = '/Portal/Facility/Details/9088c9bc-7007-4ec9-97ef-cfc30fd65131' ,Food,
16,Brunny's Sports Bar & Grill,121 Dundas St  Thamesford ON N0M 2M0,07/27/2023,location.href = '/Portal/Facility/Details/28bd14cd-0f16-40b8-ba01-7a82e1fba648' ,Food,
17,Buccaneer Roadhouse,128 William St  Port Stanley ON N5L 1E2,05/16/2023,location.href = '/Portal/Facility/Details/3972c0fd-b177-47e1-b39a-1011c313876a' ,Food,
18,Budhaven Farms - Leaping Deer Legends,544212 Clarke Rd  Ingersoll ON N5C 3J8,05/10/2023,location.href = '/Portal/Facility/Details/35067372-22f2-4110-a3cd-8369c0434d62' ,Food,
